13862856	21
13729565	15
13680171	22
13729438	21
13828600	34
13716964	34
13731487	22
13814882	22
13680876	22
13809974	22
13680771	22
13729249	22
13680137	22
13864627	13
13681139	34
13680757	22
13716777	8
13828901	22
13728509	34
13728442	13
13728958	34
13862397	28
13829966	34
13864400	13
13716103	28
13716128	21
13682496	9
13730015	21
13731152	28
13716107	33
13728966	11
13828761	13
13728735	10
13828647	6
13680875	28
13829728	13
13864532	17
13818537	13
13810120	13
13731040	28
13728229	28
13680571	13
13829773	34
13829332	8
13862428	10
13716025	13
13810245	28
13863202	10
13829473	15
13819035	21
13728057-1	19
13865165	21
13817042	13
13730929	13
13863033	15
13829923	13
13729905	10
13829307	15
13611548	28
13680802	15
13818220	8
13819911	22
13864554	12
13715960	19
13716051	33
13680457	13
13821684	10
13817976	22
13612149-1	28
13818620	21
13810034	15
13680607	13
13821155	19
13681586	22
13681541	34
13680611	13
13729722	21
13730529	28
13813575	22
13865384	28
13728017	13
13729058	34
13611803	19
13729817	19
13728051	13
13810694	23
13820547	28
13731456	13
13728313	28
13730868	15
13862919	10
13682034	28
13814407	28
13728444-1	12
13829161	22
13680110	15
13862785	22
13681246	10
13715777	13
13729335	13
13827914	34
13864619	9
13612174	10
13682284	10
13862773	13
13729857	28
13731140-1	10
13680398	8
13730772	13
13819021	28
13611559	28
13862818	22
13829829	22
13611640	34
13828103	28
13829756	15
13729790	34
13812001	10
13828618	13
13729101	34
13731428	19
13680972	19
13863010	6
13681192	19
13864835	6
13727809	21
13727769	13
13865290	22
13828832	13
13716127	19
13729042	13
13818511	34
13829996	28
13728493	28
13729529	22
13716897	28
13730939	34
13813429	22
13828511	10
13729320-1	19
13729210	6
13680312	34
13730736	21
13829218	13
13729697	13
13729407	13
13680992	13
13810012	28
13821805	13
13819314	28
13829353	12
13729285	28
13812250	34
13730167	28
13865416	22
13828681	34
13864454	8
13828973	34
13728295	8
13863025	13
13728896	13
13830023	19
13830056	13
13809969	12
13727853	28
13828797	19
13729708	22
13681082	13
13810132	34
13829686	34
13612210	28
13812772	28
13681309	22
13716296	13
13729524	15
13828739	13
13727631	21
13680506	8
13810947	9
13681439	13
13728634	22
13728288	28
13730105	28
13717162	13
13727567	21
13729057	13
13716791	13
13729824	34
13681892	13
13864540	15
13680525	28
13863152	15
13729679	21
13813794	28
13682006	28
13728809	28
13716618	13
13821297	13
13727877	15
